ID,Date Created,Data File Location,Device Version,Software Version
0,01-02-2020,/home/pi/thc_sensing/can_gui_v2/Data/by_ID/id0,3,0
0,01-02-2020,/home/pi/thc_sensing/can_gui_v2/Data/by_ID/id0,3,0
86,19-05-2020,Data/byID/id86,[3],[1]
83,20-05-2020,Data/byID/id83,[3],[1]
60,20-05-2020,Data/byID/id60,[3],[1]
57,20-05-2020,Data/byID/id57,[3],[1]

1,20-05-2020,Data/byID/id1,[3],[1]

46,20-05-2020,Data/byID/id46,[3],[1]

27,20-05-2020,Data/byID/id27,[3],[1]

73,10-06-2020,Data/byID/id73,[3],[1]

37,11-06-2020,Data/byID/id37,[3],[1]

71,11-06-2020,Data/byID/id71,[3],[1]

29,11-06-2020,Data/byID/id29,[3],[1]

54,11-06-2020,Data/byID/id54,[3],[1]

23,11-06-2020,Data/byID/id23,[3],[1]
